job,location,count
machine+learning+engineer,united+states,9000
machine+learning+engineer,california,2000
machine+learning+engineer,new+york,541
machine+learning+engineer,texas,600
data+scientist,united+states,13261
data+scientist,california,1329
data+scientist,new+york,261
data+scientist,texas,400
data+analyst,united+states,7000
data+analyst,california,700
data+analyst,new+york,700
data+analyst,texas,700
date+engineer,united+states,34632
date+engineer,california,3444
date+engineer,new+york,1110
date+engineer,texas,2000
software+engineer,united+states,31753
software+engineer,california,4000
software+engineer,new+york,1243
software+engineer,texas,5000
